Date,Total,MA7,MA30,STD7
2024-04-02,2,,,
2024-04-03,7,,,
2024-04-04,9,,,
2024-04-05,8,,,
2024-04-06,0,,,
2024-04-07,0,,,
2024-04-08,8,4.857142857142857,,4.0178174601214955
2024-04-09,0,4.571428571428571,,4.314979445958882
2024-04-10,8,4.714285714285714,,4.423960733486292
2024-04-11,0,3.4285714285714284,,4.27617987059879
2024-04-12,4,2.857142857142857,,3.804758924845368
2024-04-13,0,2.857142857142857,,3.804758924845368
2024-04-14,0,2.857142857142857,,3.804758924845368
2024-04-15,16,4.0,,6.110100926607787
2024-04-16,2,4.285714285714286,,5.936168397046638
2024-04-17,3,3.5714285714285716,,5.711308748355987
2024-04-18,11,5.142857142857143,,6.0670852812140215
2024-04-19,5,5.285714285714286,,6.047431568147636
2024-04-20,0,5.285714285714286,,6.047431568147636
2024-04-21,0,5.285714285714286,,6.047431568147636
2024-04-22,4,3.5714285714285716,,3.779644730092272
2024-04-23,11,4.857142857142857,,4.59813626840888
2024-04-24,4,5.0,,4.546060565661952
2024-04-25,8,4.571428571428571,,3.9940431835899006
2024-04-26,9,5.142857142857143,,4.336994790119514
2024-04-27,0,5.142857142857143,,4.336994790119514
2024-04-28,0,5.142857142857143,,4.336994790119514
2024-04-29,8,5.714285714285714,,4.423960733486291
2024-04-30,6,5.0,,3.785938897200182
2024-05-01,0,4.428571428571429,4.433333333333334,4.2370250120079485
2024-05-02,10,4.714285714285714,4.7,4.572172558506722
2024-05-03,2,3.7142857142857144,4.533333333333333,4.231401884099631
2024-05-04,0,3.7142857142857144,4.233333333333333,4.231401884099631
2024-05-05,0,3.7142857142857144,3.966666666666667,4.231401884099631
2024-05-06,10,4.0,4.3,4.618802153517006
2024-05-07,9,4.428571428571429,4.6,4.961758520831865
2024-05-08,27,8.285714285714286,5.233333333333333,9.428932172031036
2024-05-09,25,10.428571428571429,6.066666666666666,11.385036127261415
2024-05-10,56,18.142857142857142,7.666666666666667,19.8614246839493
2024-05-11,0,18.142857142857142,7.666666666666667,19.8614246839493
2024-05-12,4,18.714285714285715,7.666666666666667,19.302109433205185
2024-05-13,6,18.142857142857142,7.866666666666666,19.658997697649557
2024-05-14,9,18.142857142857142,8.166666666666666,19.658997697649557
2024-05-15,13,16.142857142857142,8.066666666666666,19.31690599301185
2024-05-16,4,13.142857142857142,8.133333333333333,19.342772736680157
2024-05-17,8,6.285714285714286,8.3,4.191828786034631
2024-05-18,0,6.285714285714286,7.933333333333334,4.191828786034631
2024-05-19,0,5.714285714285714,7.766666666666667,4.785891965429423
2024-05-20,16,7.142857142857143,8.3,6.1759903774906535
2024-05-21,2,6.142857142857143,8.366666666666667,6.3882332306768355
2024-05-22,13,6.142857142857143,8.666666666666666,6.3882332306768355
2024-05-23,5,6.285714285714286,8.466666666666667,6.343350474165465
2024-05-24,1,5.285714285714286,8.366666666666667,6.5755680544037585
2024-05-25,0,5.285714285714286,8.1,6.5755680544037585
2024-05-26,0,5.285714285714286,7.8,6.5755680544037585
2024-05-27,17,5.428571428571429,8.366666666666667,6.8521807442872475
2024-05-28,14,7.142857142857143,8.833333333333334,7.33549751615552
2024-05-29,3,5.714285714285714,8.666666666666666,6.969320524371695
2024-05-30,5,5.714285714285714,8.633333333333333,6.969320524371695
2024-05-31,1,5.714285714285714,8.666666666666666,6.969320524371695
2024-06-01,0,5.714285714285714,8.333333333333334,6.969320524371695
2024-06-02,0,5.714285714285714,8.266666666666667,6.969320524371695
2024-06-03,55,11.142857142857142,10.1,19.945162917597937
2024-06-04,11,10.714285714285714,10.466666666666667,19.905730211125018
2024-06-05,3,10.714285714285714,10.233333333333333,19.905730211125018
2024-06-06,22,13.142857142857142,10.666666666666666,20.128160798812623
2024-06-07,8,14.142857142857142,10.033333333333333,19.591057240729093
2024-06-08,1,14.285714285714286,9.233333333333333,19.474036439272044
2024-06-09,10,15.714285714285714,7.7,18.598515045690124
2024-06-10,7,8.857142857142858,7.933333333333334,6.817344825970776
2024-06-11,10,8.714285714285714,8.133333333333333,6.775305299745682
2024-06-12,6,9.142857142857142,8.133333333333333,6.440201120787339
2024-06-13,1,6.142857142857143,7.866666666666666,3.8047589248453706
2024-06-14,6,5.857142857142857,7.633333333333334,3.716116764786036
2024-06-15,0,5.714285714285714,7.5,3.9460649476951835
2024-06-16,0,4.285714285714286,7.233333333333333,3.9460649476951835
2024-06-17,0,3.2857142857142856,7.233333333333333,4.029651999626675
2024-06-18,3,2.2857142857142856,7.333333333333333,2.751622897751178
2024-06-19,5,2.142857142857143,6.966666666666667,2.5448360411214104
2024-06-20,4,2.5714285714285716,7.033333333333333,2.572750982712403
2024-06-21,2,2.0,6.666666666666667,2.0816659994661366
2024-06-22,0,2.0,6.5,2.0816659994661366
2024-06-23,0,2.0,6.466666666666667,2.0816659994661366
2024-06-24,5,2.7142857142857144,6.633333333333334,2.138089935299399
2024-06-25,18,4.857142857142857,7.233333333333333,6.175990377490654
2024-06-26,5,4.857142857142857,6.833333333333333,6.175990377490654
2024-06-27,4,4.857142857142857,6.5,6.175990377490654
2024-06-28,8,5.714285714285714,6.666666666666667,6.1295537008356975
2024-06-29,0,5.714285714285714,6.5,6.1295537008356975
2024-06-30,0,5.714285714285714,6.466666666666667,6.1295537008356975
2024-07-01,7,6.0,6.7,6.137317546507324
2024-07-02,2,3.7142857142857144,6.766666666666667,3.1997023671109246
2024-07-03,4,3.5714285714285716,5.066666666666666,3.1547394428670286
2024-07-04,4,3.5714285714285716,4.833333333333333,3.1547394428670286
2024-07-05,3,2.857142857142857,4.833333333333333,2.4784787961282135
2024-07-06,2,3.142857142857143,4.166666666666667,2.193062655175138
2024-07-07,0,3.142857142857143,3.9,2.193062655175138
2024-07-08,1,2.2857142857142856,3.9,1.496026483086197
2024-07-09,6,2.857142857142857,3.7666666666666666,2.0354009783964337
2024-07-10,6,3.142857142857143,3.7333333333333334,2.340126166724882
2024-07-11,3,3.0,3.5,2.3094010767585065
2024-07-12,2,2.857142857142857,3.3666666666666667,2.3401261667248825
2024-07-13,0,2.5714285714285716,3.3333333333333335,2.5727509827124027
2024-07-14,0,2.5714285714285716,3.1333333333333333,2.5727509827124027
2024-07-15,8,3.5714285714285716,3.4,3.1547394428670286
2024-07-16,5,3.4285714285714284,3.566666666666667,3.0472470011002226
2024-07-17,5,3.2857142857142856,3.7333333333333334,2.9277002188456023
2024-07-18,7,3.857142857142857,3.8666666666666667,3.2366943748507504
2024-07-19,5,4.285714285714286,3.8666666666666667,3.147183169877775
2024-07-20,0,4.285714285714286,3.7333333333333334,3.147183169877775
2024-07-21,0,4.285714285714286,3.6666666666666665,3.147183169877775
2024-07-22,2,3.4285714285714284,3.7333333333333334,2.7602622373694197
2024-07-23,32,7.285714285714286,4.8,11.220729116450585
2024-07-24,5,7.285714285714286,4.8,11.220729116450585
2024-07-25,0,6.285714285714286,4.2,11.557310611531932
2024-07-26,8,6.714285714285714,4.3,11.557310611531932
2024-07-27,1,6.857142857142857,4.2,11.466306749611686
2024-07-28,1,7.0,3.966666666666667,11.372481406154654
2024-07-29,2,7.0,4.033333333333333,11.372481406154654
2024-07-30,6,3.2857142857142856,4.233333333333333,3.039423504234851
2024-07-31,9,3.857142857142857,4.3,3.7161167647860354
2024-08-01,14,5.857142857142857,4.7,4.879500364742667
2024-08-02,2,5.0,4.633333333333334,4.966554808583782
2024-08-03,0,4.857142857142857,4.5,5.113008619478082
2024-08-04,0,4.714285714285714,4.4,5.250850271282604
2024-08-05,6,5.285714285714286,4.533333333333333,5.122313465427048
2024-08-06,4,5.0,4.666666666666667,5.131601439446886
2024-08-07,5,4.428571428571429,4.8,4.825527358301298
2024-08-08,4,3.0,4.733333333333333,2.3804761428476224
2024-08-09,5,3.4285714285714284,4.7,2.439750182371338
2024-08-10,0,3.4285714285714284,4.6,2.439750182371338
2024-08-11,0,3.4285714285714284,4.533333333333333,2.439750182371338
2024-08-12,2,2.857142857142857,4.6,2.1930626551751407
2024-08-13,3,2.7142857142857144,4.7,2.138089935299402
2024-08-14,1,2.142857142857143,4.466666666666667,1.9518001458970744
2024-08-15,1,1.7142857142857142,4.333333333333333,1.799470821684884
2024-08-16,3,1.4285714285714286,4.266666666666667,1.2724180205607174
2024-08-17,0,1.4285714285714286,4.033333333333333,1.2724180205607174
2024-08-18,0,1.4285714285714286,3.8666666666666667,1.2724180205607174
2024-08-19,3,1.5714285714285714,3.966666666666667,1.3972762620115562
2024-08-20,5,1.8571428571428572,4.133333333333334,1.8644544714716176
2024-08-21,1,1.8571428571428572,4.1,1.8644544714716176
2024-08-22,6,2.5714285714285716,3.2333333333333334,2.370453040886414
2024-08-23,1,2.2857142857142856,3.1,2.42997158517583
2024-08-24,0,2.2857142857142856,3.1,2.42997158517583
2024-08-25,1,2.4285714285714284,2.8666666666666667,2.299068134204447
2024-08-26,1,2.142857142857143,2.8666666666666667,2.3401261667248856
2024-08-27,6,2.2857142857142856,3.033333333333333,2.563479777846629
2024-08-28,3,2.5714285714285716,3.066666666666667,2.5071326821120405
2024-08-29,1,1.8571428571428572,2.9,2.0354009783964377
2024-08-30,1,1.8571428571428572,2.6333333333333333,2.0354009783964377
2024-08-31,0,1.8571428571428572,2.1666666666666665,2.0354009783964377
2024-09-01,0,1.7142857142857142,2.1,2.1380899352994027
2024-09-02,14,3.5714285714285716,2.566666666666667,5.061526214398938
2024-09-03,10,4.142857142857143,2.9,5.580578567035605
2024-09-04,8,4.857142857142857,2.966666666666667,5.727959829601097
2024-09-05,4,5.285714285714286,2.966666666666667,5.498917642417938
2024-09-06,4,5.714285714285714,2.933333333333333,5.219012860502957
2024-09-07,0,5.714285714285714,2.8,5.219012860502957
2024-09-08,1,5.857142857142857,2.6666666666666665,5.047394424471946
2024-09-09,3,4.285714285714286,2.7666666666666666,3.5923198500080593
2024-09-10,3,3.2857142857142856,2.8666666666666667,2.5634797778466276
2024-09-11,1,2.2857142857142856,2.8333333333333335,1.6035674514745546
2024-09-12,7,2.7142857142857144,2.966666666666667,2.360387377408335
2024-09-13,6,3.0,3.1333333333333333,2.645751311064595
2024-09-14,0,3.0,3.1,2.645751311064595
2024-09-15,3,3.2857142857142856,3.1,2.49761791275112
2024-09-16,5,3.5714285714285716,3.2666666666666666,2.572750982712404
2024-09-17,1,3.2857142857142856,3.3,2.751622897751179
2024-09-18,2,3.4285714285714284,3.2666666666666666,2.636736799982314
2024-09-19,4,3.0,3.2333333333333334,2.1602468994692923
2024-09-20,5,2.857142857142857,3.3666666666666667,1.9518001458970726
2024-09-21,0,2.857142857142857,3.1666666666666665,1.9518001458970726
2024-09-22,0,2.4285714285714284,3.1333333333333333,2.225394561056753
2024-09-23,0,1.7142857142857142,3.1333333333333333,2.058663459163558
2024-09-24,2,1.8571428571428572,3.1666666666666665,2.0354009783964364
2024-09-25,3,2.0,3.2333333333333334,2.0816659994661393
2024-09-26,2,1.7142857142857142,3.1,1.8898223650461434
2024-09-27,3,1.4285714285714286,3.1,1.397276262011554
2024-09-28,0,1.4285714285714286,3.066666666666667,1.397276262011554
2024-09-29,0,1.4285714285714286,3.033333333333333,1.397276262011554
2024-09-30,11,3.0,3.4,3.7416573867739444
2024-10-01,3,3.142857142857143,3.5,3.7161167647860354
2024-10-02,1,2.857142857142857,3.066666666666667,3.8047589248453706
2024-10-03,6,3.4285714285714284,2.933333333333333,3.952094080237418
2024-10-04,4,3.5714285714285716,2.8,3.952094080237418
2024-10-05,0,3.5714285714285716,2.6666666666666665,3.952094080237418
2024-10-06,0,3.5714285714285716,2.533333333333333,3.952094080237418
2024-10-07,6,2.857142857142857,2.7333333333333334,2.609506430251482
2024-10-08,5,3.142857142857143,2.8666666666666667,2.734262327610593
2024-10-09,6,3.857142857142857,2.966666666666667,2.734262327610593
2024-10-10,10,4.428571428571429,3.2,3.552329886011101
2024-10-11,1,4.0,3.2,3.7859388972001855
2024-10-12,0,4.0,2.966666666666667,3.7859388972001855
2024-10-13,0,4.0,2.7666666666666666,3.7859388972001855
2024-10-14,4,3.7142857142857144,2.9,3.683941988065039
2024-10-15,5,3.7142857142857144,2.966666666666667,3.683941988065039
2024-10-16,2,3.142857142857143,2.8666666666666667,3.5790395093549656
2024-10-17,8,2.857142857142857,3.1,2.968084198523323
2024-10-18,4,3.2857142857142856,3.1666666666666665,2.870208222079935
2024-10-19,0,3.2857142857142856,3.033333333333333,2.870208222079935
2024-10-20,3,3.7142857142857144,2.966666666666667,2.49761791275112
2024-10-21,3,3.5714285714285716,3.066666666666667,2.5071326821120397
2024-10-22,1,3.0,3.1,2.581988897471617
2024-10-23,9,4.0,3.4,3.366501646120696
2024-10-24,4,3.4285714285714284,3.466666666666667,2.8784916685157023
2024-10-25,3,3.2857142857142856,3.466666666666667,2.870208222079935
2024-10-26,0,3.2857142857142856,3.4,2.870208222079935
2024-10-27,0,2.857142857142857,3.3,3.1320159337914997
2024-10-28,5,3.142857142857143,3.466666666666667,3.2366943748507526
2024-10-29,5,3.7142857142857144,3.6333333333333333,3.1471831698777764
2024-10-30,6,3.2857142857142856,3.466666666666667,2.429971585175829
2024-10-31,0,2.7142857142857144,3.3666666666666667,2.690370836538203
2024-11-01,4,2.857142857142857,3.466666666666667,2.7342623276105944
2024-11-02,2,3.142857142857143,3.3333333333333335,2.4784787961282158
2024-11-03,0,3.142857142857143,3.2,2.4784787961282158
2024-11-04,8,3.5714285714285716,3.466666666666667,3.0472470011002244
2024-11-05,1,3.0,3.5,3.1091263510296097
2024-11-06,10,3.5714285714285716,3.6333333333333333,3.994043183589904
2024-11-07,2,3.857142857142857,3.533333333333333,3.7606990231680553
2024-11-08,5,4.0,3.5,3.7859388972001855
2024-11-09,0,3.7142857142857144,3.1666666666666665,4.029651999626675
2024-11-10,3,4.142857142857143,3.2333333333333334,3.7161167647860354
2024-11-11,3,3.4285714285714284,3.3333333333333335,3.30943816264649
2024-11-12,10,4.714285714285714,3.6666666666666665,3.903600291794135
2024-11-13,13,5.142857142857143,3.966666666666667,4.670066788550654
2024-11-14,8,6.0,4.066666666666666,4.546060565661953
2024-11-15,7,6.285714285714286,4.233333333333333,4.535573676110728
2024-11-16,0,6.285714285714286,3.966666666666667,4.535573676110728
2024-11-17,0,5.857142857142857,3.8333333333333335,5.01426536422407
2024-11-18,3,5.857142857142857,3.933333333333333,5.01426536422407
2024-11-19,4,5.0,3.966666666666667,4.6904157598234315
2024-11-20,4,3.7142857142857144,4.0,3.093772546815393
2024-11-21,6,3.4285714285714284,4.166666666666667,2.699206232527318
2024-11-22,2,2.7142857142857144,3.933333333333333,2.214669705568291
2024-11-23,0,2.7142857142857144,3.8,2.214669705568291
2024-11-24,0,2.7142857142857144,3.7,2.214669705568291
2024-11-25,7,3.2857142857142856,3.933333333333333,2.7516228977511807
2024-11-26,5,3.4285714285714284,4.1,2.8199966227605637
2024-11-27,8,4.0,4.2,3.3166247903554043
2024-11-28,0,3.142857142857143,4.033333333333333,3.484660262185853
2024-11-29,1,3.0,3.8666666666666667,3.559026084010442
2024-11-30,0,3.0,3.8666666666666667,3.559026084010442
2024-12-01,0,3.0,3.7333333333333334,3.559026084010442
2024-12-02,7,3.0,3.9,3.559026084010442
2024-12-03,7,3.2857142857142856,4.133333333333334,3.817254061682115
2024-12-04,1,2.2857142857142856,3.9,3.2513733362117323
2024-12-05,13,4.142857142857143,4.3,4.980915960897537
2024-12-06,12,5.714285714285714,4.366666666666666,5.52914356581818
2024-12-07,0,5.714285714285714,4.3,5.52914356581818
2024-12-08,0,5.714285714285714,4.133333333333334,5.52914356581818
2024-12-09,0,4.714285714285714,4.133333333333334,5.879747322073338
2024-12-10,5,4.428571428571429,4.2,5.798193478924935
2024-12-11,1,4.428571428571429,4.133333333333334,5.798193478924935
2024-12-12,4,3.142857142857143,3.933333333333333,4.413183712037208
2024-12-13,10,2.857142857142857,3.8333333333333335,3.7606990231680566
2024-12-14,0,2.857142857142857,3.566666666666667,3.7606990231680566
2024-12-15,0,2.857142857142857,3.3333333333333335,3.7606990231680566
2024-12-16,4,3.4285714285714284,3.466666666666667,3.552329886011102
2024-12-17,5,3.4285714285714284,3.6333333333333333,3.552329886011102
2024-12-18,22,6.428571428571429,4.266666666666667,7.656307701434656
2024-12-19,16,8.142857142857142,4.666666666666667,8.335237877600763
2024-12-20,3,7.142857142857143,4.633333333333334,8.493695140682714
2024-12-21,0,7.142857142857143,4.433333333333334,8.493695140682714
2024-12-22,0,7.142857142857143,4.366666666666666,8.493695140682714
2024-12-23,2,6.857142857142857,4.433333333333334,8.64924989866311
2024-12-24,0,6.142857142857143,4.433333333333334,9.026416258748014
2024-12-25,0,3.0,4.2,5.85946527708232
2024-12-26,2,1.0,4.1,1.2909944487358314
2024-12-27,0,0.5714285714285714,3.8333333333333335,0.975900072948569
2024-12-28,0,0.5714285714285714,3.8333333333333335,0.975900072948569
2024-12-29,1,0.7142857142857143,3.8333333333333335,0.951189731211378
2024-12-30,2,0.7142857142857143,3.9,0.951189731211378
